name,split,det count,gt count,ref count,type
000197,test,3,2,2,interactive
000219,test,5,2,2,interactive
000224,test,5,1,2,interactive
000254,test,2,2,2,other
000266,test,2,2,2,interactive
000354,test,2,2,3,interactive
000382,test,4,2,2,interactive
000389,test,4,2,3,interactive
000463,test,2,2,2,interactive
000647,test,3,2,3,interactive
000668,test,8,2,3,interactive
000850,test,11,2,4,interactive
000863,test,3,2,2,interactive
001039,test,2,1,3,interactive
001123,test,4,2,4,interactive
001205,test,4,2,2,interactive
001248,test,2,2,2,interactive
001473,test,6,2,3,interactive
001578,test,11,1,1,other
001657,test,3,1,2,interactive
001667,test,4,1,1,other
001721,test,3,1,3,interactive
001745,test,2,2,2,interactive
001799,test,6,1,1,other
001834,test,11,2,2,interactive
001843,test,2,2,2,interactive
001857,test,2,2,2,interactive
001915,test,5,2,2,interactive
002028,test,2,2,2,interactive
002042,test,3,2,3,interactive
002074,test,6,2,2,interactive
002105,test,2,2,2,interactive
002217,test,7,2,3,interactive
002234,test,4,2,2,interactive
002266,test,6,2,3,interactive
002360,test,2,2,2,interactive
002371,test,6,2,2,interactive
002450,test,10,2,2,interactive
002456,test,9,1,1,other
002548,test,2,2,2,interactive
002637,test,4,1,1,other
002638,test,3,1,3,interactive
002707,test,3,2,2,interactive
002718,test,3,1,3,interactive
002725,test,2,2,2,interactive
002763,test,10,1,1,other
002774,test,5,2,2,interactive
002897,test,2,1,2,interactive
002905,test,2,2,4,interactive
003013,test,3,2,3,interactive
003031,test,2,1,1,other
003070,test,5,2,5,interactive
003105,test,8,1,1,other
003159,test,5,2,7,interactive
003186,test,6,2,2,interactive
003205,test,9,2,2,interactive
003273,test,2,1,1,other
003310,test,5,2,2,interactive
003382,test,2,1,1,other
003405,test,8,2,2,interactive
003485,test,10,1,1,other
003531,test,2,2,2,interactive
003557,test,4,2,5,interactive
003558,test,5,1,2,interactive
003612,test,2,2,2,interactive
003681,test,3,2,3,interactive
003749,test,2,2,2,interactive
003788,test,8,1,1,other
003869,test,2,2,2,interactive
003886,test,2,1,3,interactive
003906,test,8,1,1,other
003965,test,4,2,2,interactive
004071,test,2,1,1,other
004110,test,2,1,3,interactive
004112,test,13,1,3,interactive
004172,test,8,2,2,interactive
004176,test,3,1,3,interactive
004246,test,11,1,3,interactive
004278,test,2,2,2,interactive
004453,test,4,2,2,interactive
004530,test,4,1,1,other
004539,test,10,2,3,interactive
004613,test,3,2,2,interactive
004635,test,5,1,2,interactive
004674,test,10,2,2,interactive
004737,test,6,1,3,interactive
005118,test,2,2,2,interactive
005122,test,2,1,27,interactive
005180,test,6,2,2,interactive
005247,test,2,2,2,interactive
005336,test,2,2,2,interactive
005394,test,5,1,1,other
005416,test,9,1,1,other
005514,test,4,1,2,interactive
005530,test,8,1,2,interactive
005532,test,6,2,2,interactive
005565,test,5,1,2,interactive
005606,test,2,2,2,interactive
005616,test,5,2,2,interactive
005673,test,3,2,2,interactive
005894,test,2,2,2,interactive
005920,test,4,1,2,interactive
005990,test,8,1,2,interactive
006006,test,2,2,2,interactive
006014,test,8,1,1,other
006047,test,2,2,2,interactive
006061,test,1,1,2,other
006063,test,6,2,4,interactive
006140,test,2,2,2,interactive
006236,test,6,1,1,other
006238,test,9,2,5,interactive
006290,test,2,2,2,interactive
006441,test,5,2,4,interactive
006529,test,2,2,2,interactive
006538,test,3,2,3,interactive
006565,test,5,1,3,interactive
006586,test,7,2,3,interactive
006597,test,7,2,2,interactive
006699,test,3,2,2,interactive
006745,test,6,2,2,interactive
006798,test,2,2,2,interactive
006958,test,4,2,2,interactive
006972,test,2,2,2,other
007045,test,6,2,2,interactive
007104,test,11,1,1,other
007143,test,3,2,3,interactive
007171,test,12,2,3,interactive
007202,test,3,2,3,interactive
007271,test,2,1,2,interactive
007327,test,2,1,1,other
007355,test,5,1,1,other
007401,test,3,2,3,interactive
007410,test,9,2,2,interactive
007441,test,2,2,2,interactive
007465,test,2,1,2,interactive
007483,test,4,1,2,interactive
